class	code	description
disease	S02.6	下颌骨骨折
disease	S02.7	累及颅骨和面骨的多处骨折
disease	S02.8	其他颅骨和面骨骨折
disease	S02.9	部位未特指的颅骨和面骨骨折
disease	S03	头部关节和韧带脱位、扭伤和劳损
disease	S03.0	颌关节脱位
disease	S03.1	鼻中隔软骨脱位
disease	S03.2	牙脱位
disease	S03.3	头部其他和未特指部位的脱位
disease	S03.4	颌关节扭伤和劳损
disease	S03.5	头部其他和未特指部位关节和韧带扭伤和劳损
disease	S04	脑神经损伤
disease	S04.0	视神经和视路损伤
disease	S04.1	动眼神经损伤
disease	S04.2	滑车神经损伤
disease	S04.3	三叉神经损伤
disease	S04.4	展神经损伤
disease	S04.5	面神经损伤
disease	S04.6	听神经损伤
disease	S04.7	副神经损伤
disease	S04.8	其他脑神经损伤
disease	S04.9	未特指的脑神经损伤
disease	S05	眼和眶损伤
disease	S05.0	结合膜损伤和角膜擦伤，未提及异物
disease	S05.1	眼球和眶组织挫伤
disease	S05.2	眼撕裂伤和破裂伴有眼内组织脱出或缺失
disease	S05.3	眼撕裂伤不伴有眼内组织脱出或缺失
disease	S05.4	眶贯通伤伴有或不伴有异物
disease	S05.5	眼球贯通伤伴有异物
disease	S05.6	眼球贯通伤不伴有异物
disease	S05.7	眼撕脱伤
disease	S05.8	眼和眶其他损伤
disease	S05.9	眼和眶未特指的损伤
disease	S06	颅内损伤
disease	S06.0	脑震荡
disease	S06.1	创伤性大脑水肿
disease	S06.2	弥散性脑损伤
disease	S06.3	局部脑损伤
disease	S06.4	硬膜外出血
disease	S06.5	创伤性硬膜下出血
disease	S06.6	创伤性蛛网膜下出血
disease	S06.7	颅内损伤伴有延长的昏迷
disease	S06.8	其他颅内损伤
disease	S06.9	未特指的颅内损伤
disease	S07	头部挤压伤
disease	S07.0	面部挤压伤
disease	S07.1	颅骨挤压伤
disease	S07.8	头部其他部位的挤压伤
disease	S07.9	头部部位未特指的挤压伤
disease	S08	头的部分创伤性切断
disease	S08.0	头皮撕脱
disease	S08.1	耳创伤性切断
disease	S08.8	头部其他部位的创伤性切断
disease	S08.9	头部未特指部位的创伤性切断
disease	S09	头部其他和未特指的损伤
disease	S09.0	头部血管损伤，不可归类在他处者
disease	S09.1	头部肌肉和肌腱损伤
disease	S09.2	耳鼓膜创伤性破裂
disease	S09.7	头部多处损伤
disease	S09.8	头部其他特指的损伤
disease	S09.9	头部未特指的损伤
disease	S10	颈部浅表损伤
disease	S10.0	咽喉挫伤
disease	S10.1	咽喉其他和未特指的浅表损伤
disease	S10.7	颈部多处浅表损伤
disease	S10.8	颈部其他部位的浅表损伤
disease	S10.9	颈部部位未特指的浅表损伤
disease	S11	颈部开放性伤口
disease	S11.0	颈部开放性伤口累及喉和气管
disease	S11.1	颈部开放性伤口累及甲状腺
disease	S11.2	颈部开放性伤口累及咽和颈部食管
disease	S11.7	颈部多处开放性伤口
disease	S11.8	颈部其他部位的开放性伤口
disease	S11.9	颈部部位未特指的开放性伤口
disease	S12	颈部骨折
disease	S12.0	第一颈椎骨折
disease	S12.1	第二颈椎骨折
disease	S12.2	其他特指颈椎的骨折
disease	S12.7	颈椎多处骨折
disease	S12.8	颈部其他部位的骨折
disease	S12.9	颈部部位未特指的骨折
disease	S13	在颈水平的关节和韧带脱位、扭伤和劳损
disease	S13.0	颈椎间盘创伤性破裂
disease	S13.1	颈椎脱位
disease	S13.2	颈部其他和未特指部位的脱位
disease	S13.3	颈部多发性脱位
disease	S13.4	颈椎扭伤和劳损
disease	S13.5	甲状腺区扭伤和劳损
disease	S13.6	颈部其他和未特指部位关节和韧带扭伤和劳损
disease	S14	在颈水平的神经和脊髓损伤
disease	S14.0	颈部脊髓震荡和水肿
disease	S14.1	颈部脊髓其他和未特指的损伤
disease	S14.2	颈椎棘突神经根的损伤
disease	S14.3	臂丛损伤
disease	S14.4	颈部周围神经损伤
disease	S14.5	颈部交感神经损伤
disease	S14.6	颈部其他和未特指神经的损伤
disease	S15	在颈水平的血管损伤
disease	S15.0	颈动脉损伤
disease	S15.1	椎动脉损伤
disease	S15.2	颈外静脉损伤
disease	S15.3	颈内静脉损伤
disease	S15.7	在颈水平的多处血管损伤
disease	S15.8	在颈水平的其他血管损伤
disease	S15.9	在颈水平的未特指血管的损伤
disease	S16	在颈水平的肌肉和肌腱损伤
disease	S17	颈部挤压伤
disease	S17.0	喉和气管挤压伤
disease	S17.8	颈部其他部位的挤压伤
disease	S17.9	颈部部位未特指的挤压伤
disease	S18	在颈水平的创伤性切断
disease	S19	颈部其他和未特指的损伤
disease	S19.7	颈部多处损伤
disease	S19.8	颈部其他特指的损伤
disease	S19.9	颈部未特指的损伤
disease	S20	胸部浅表损伤
disease	S20.0	乳房挫伤
disease	S20.1	乳房其他和未特指的浅表损伤
disease	S20.2	胸部挫伤
disease	S20.3	胸前壁其他浅表损伤
disease	S20.4	胸后壁其他浅表损伤
disease	S20.7	胸部多处浅表损伤
disease	S20.8	胸部其他和未特指部位的浅表损伤
disease	S21	胸部开放性伤口
disease	S21.0	乳房开放性伤口
disease	S21.1	胸前壁开放性伤口
disease	S21.2	胸后壁开放性伤口
disease	S21.7	胸壁多处开放性伤口
disease	S21.8	胸部其他部位的开放性伤口
disease	S21.9	胸部部位未特指的开放性伤口
disease	S22	肋骨、胸骨和胸部脊柱骨折
disease	S22.0	胸椎骨折
disease	S22.1	胸椎多处骨折
disease	S22.2	胸骨骨折
disease	S22.3	肋骨骨折
disease	S22.4	肋骨多处骨折
disease	S22.5	连枷胸
disease	S22.8	骨性胸廓其他部位的骨折
disease	S22.9	骨性胸廓部位未特指的骨折
disease	S23	胸部关节和韧带脱位、扭伤和劳损
disease	S23.0	胸椎间盘创伤性破裂
disease	S23.1	胸椎脱位
disease	S23.2	胸部其他和未特指部位的脱位
disease	S23.3	胸椎扭伤和劳损
disease	S23.4	肋骨和胸骨扭伤和劳损
disease	S23.5	胸部其他和未特指部位的扭伤和劳损
disease	S24	在胸水平的神经和脊髓损伤
disease	S24.0	胸部脊髓震荡和水肿
disease	S24.1	胸部脊髓其他和未特指的损伤
disease	S24.2	胸椎神经根损伤
disease	S24.3	胸部周围神经损伤
disease	S24.4	胸部交感神经损伤
disease	S24.5	胸部其他神经的损伤
disease	S24.6	胸部未特指神经的损伤
disease	S25	胸部血管损伤
disease	S25.0	胸主动脉损伤
disease	S25.1	无名动脉或锁骨下动脉损伤
disease	S25.2	上腔静脉损伤
disease	S25.3	无名静脉或锁骨下静脉损伤
disease	S25.4	肺血管损伤
disease	S25.5	肋间血管损伤
disease	S25.7	胸部多处血管损伤
disease	S25.8	胸部其他血管的损伤
disease	S25.9	胸部未特指血管的损伤
disease	S26	心脏损伤
disease	S26.0	伴有心包积血的心脏损伤
disease	S26.8	心脏其他损伤
disease	S26.9	心脏未特指的损伤
disease	S27	其他和未特指胸内器官损伤
disease	S27.0	创伤性气胸
disease	S27.1	创伤性血胸
disease	S27.2	创伤性血气胸
disease	S27.3	肺的其他损伤
disease	S27.4	支气管损伤
disease	S27.5	胸部气管损伤
disease	S27.6	胸膜损伤
disease	S27.7	胸内器官多处损伤
disease	S27.8	其他特指胸内器官损伤
disease	S27.9	未特指胸内器官的损伤
disease	S28	胸部挤压伤和胸的部分创伤性切断
disease	S28.0	胸部挤压伤
disease	S28.1	胸的部分创伤性切断
disease	S29	胸部其他和未特指的损伤
disease	S29.0	在胸水平的肌肉和肌腱损伤
disease	S29.7	胸部多处损伤
disease	S29.8	胸部其他特指的损伤
disease	S29.9	胸部未特指的损伤
disease	S30	腹部、下背和骨盆浅表损伤
disease	S30.0	下背和骨盆挫伤
disease	S30.1	腹壁挫伤
disease	S30.2	外生殖器挫伤
disease	S30.7	腹部、下背和骨盆多处浅表损伤
disease	S30.8	腹部、下背和骨盆其他的浅表损伤
disease	S30.9	腹部、下背和骨盆部位未特指的浅表损伤
disease	S31	腹部、下背和骨盆开放性伤口
disease	S31.0	下背和骨盆开放性伤口
disease	S31.1	腹壁开放性伤口
disease	S31.2	阴茎开放性伤口
disease	S31.3	阴囊和睾丸开放性伤口
disease	S31.4	阴道和外阴开放性伤口
disease	S31.5	其他和未特指外生殖器的开放性伤口
disease	S31.7	腹部、下背和骨盆多处开放性伤口
disease	S31.8	腹部其他和未特指部位的开放性伤口
disease	S32	腰椎和骨盆骨折
disease	S32.0	腰椎骨折
disease	S32.1	骶骨骨折
disease	S32.2	尾骨骨折
disease	S32.3	髂骨骨折
disease	S32.4	髋臼骨折
disease	S32.5	耻骨骨折
disease	S32.7	腰椎和骨盆多处骨折
disease	S32.8	腰椎和骨盆其他和未特指部位的骨折
disease	S33	腰椎和骨盆关节和韧带脱位、扭伤和劳损
disease	S33.0	腰椎间盘创伤性破裂
disease	S33.1	腰椎脱位
disease	S33.2	骶髂关节和骶尾关节脱位
disease	S33.3	腰椎和骨盆其他和未特指部位的脱位
disease	S33.4	耻骨联合创伤性破裂
disease	S33.5	腰椎扭伤和劳损
disease	S33.6	骶髂关节扭伤和劳损
disease	S33.7	腰椎和骨盆其他和未特指部位的扭伤和劳损
disease	S34	在腹、下背和骨盆水平的神经和腰部脊髓损伤
disease	S34.0	腰部脊髓震荡和水肿
disease	S34.1	腰部脊髓其他损伤
disease	S34.2	腰骶神经根损伤
disease	S34.3	马尾损伤
disease	S34.4	腰骶丛损伤
disease	S34.5	腰部、骶部和骨盆交感神经损伤
disease	S34.6	腹部、下背和骨盆周围神经损伤
disease	S34.8	在腹、下背和骨盆水平的其他和未特指神经的损伤
disease	S35	在腹、下背和骨盆水平的血管损伤
disease	S35.0	腹主动脉损伤
disease	S35.1	下腔静脉损伤
disease	S35.2	腹腔或肠系膜动脉损伤
disease	S35.3	门静脉或脾静脉损伤
disease	S35.4	肾血管损伤
disease	S35.5	髂血管损伤
disease	S35.7	在腹、下背和骨盆水平的多处血管损伤
disease	S35.8	在腹、下背和骨盆水平的其他血管损伤
disease	S35.9	在腹、下背和骨盆水平的未特指血管的损伤
disease	S36	腹内器官损伤
disease	S36.0	脾损伤
disease	S36.1	肝或胆囊损伤
disease	S36.2	胰损伤
disease	S36.3	胃损伤
disease	S36.4	小肠损伤
disease	S36.5	结肠损伤
disease	S36.6	直肠损伤
disease	S36.7	多个腹内器官损伤
disease	S36.8	其他腹内器官损伤
disease	S36.9	未特指腹内器官的损伤
disease	S37	泌尿系和盆腔器官损伤
disease	S37.0	肾损伤
disease	S37.1	输尿管损伤
disease	S37.2	膀胱损伤
disease	S37.3	尿道损伤
disease	S37.4	卵巢损伤
disease	S37.5	输卵管损伤
disease	S37.6	子宫损伤
disease	S37.7	多个盆腔器官损伤
disease	S37.8	其他盆腔器官损伤
disease	S37.9	未特指盆腔器官的损伤
disease	S38	腹部、下背和骨盆部分挤压伤和创伤性切断
disease	S38.0	外生殖器挤压伤
disease	S38.1	腹部、下背和骨盆其他和未特指部位的挤压伤
disease	S38.2	外生殖器创伤性切断
disease	S38.3	腹部、下背和骨盆其他和未特指部位的创伤性切断
disease	S39	腹部、下背和骨盆其他和未特指的损伤
disease	S39.0	腹部、下背和骨盆肌肉和肌腱损伤
disease	S39.6	腹内器官伴有盆腔器官的损伤
disease	S39.7	腹部、下背和骨盆其他多处损伤
disease	S39.8	腹部、下背和骨盆其他特指的损伤
disease	S39.9	腹部、下背和骨盆未特指的损伤
disease	S40	肩和上臂浅表损伤
disease	S40.0	肩和上臂挫伤
disease	S40.7	肩和上臂多处浅表损伤
disease	S40.8	肩和上臂其他浅表损伤
disease	S40.9	肩和上臂未特指的浅表损伤
disease	S41	肩和上臂开放性伤口
disease	S41.0	肩开放性伤口
disease	S41.1	上臂开放性伤口
disease	S41.7	肩和上臂多处开放性伤口
disease	S41.8	肩胛带其他和未特指部位的开放性伤口
disease	S42	肩和上臂骨折
disease	S42.0	锁骨骨折
disease	S42.1	肩胛骨骨折
disease	S42.2	肱骨上端骨折
disease	S42.3	肱骨干骨折
disease	S42.4	肱骨下端骨折
disease	S42.7	锁骨、肩胛骨和肱骨多处骨折
disease	S42.8	肩和上臂其他部位的骨折
disease	S42.9	肩胛带部位未特指的骨折
disease	S43	肩胛带关节和韧带脱位、扭伤和劳损
disease	S43.0	肩关节脱位
disease	S43.1	肩锁关节脱位
disease	S43.2	胸锁关节脱位
disease	S43.3	肩胛带其他和未特指部位的脱位
disease	S43.4	肩关节扭伤和劳损
disease	S43.5	肩锁关节扭伤和劳损
disease	S43.6	胸锁关节扭伤和劳损
disease	S43.7	肩胛带其他和未特指部位的扭伤和劳损
disease	S44	在肩和上臂水平的神经损伤
disease	S44.0	在上臂水平的尺神经损伤
disease	S44.1	在上臂水平的正中神经损伤
disease	S44.2	在上臂水平的桡神经损伤
disease	S44.3	腋神经损伤
disease	S44.4	肌皮神经损伤
disease	S44.5	在肩和上臂水平的皮感觉神经损伤
disease	S44.7	在肩和上臂水平的多神经损伤
disease	S44.8	在肩和上臂水平的其他神经损伤
disease	S44.9	在肩和上臂水平的未特指神经的损伤
disease	S45	在肩和上臂水平的血管损伤
disease	S45.0	腋动脉损伤
disease	S45.1	肱动脉损伤
disease	S45.2	腋或肱静脉损伤
disease	S45.3	在肩和上臂水平的浅表静脉损伤
disease	S45.7	在肩和上臂水平的多处血管损伤
disease	S45.8	在肩和上臂水平的其他血管损伤
disease	S45.9	在肩和上臂水平的未特指血管的损伤
disease	S46	在肩和上臂水平的肌肉和肌腱损伤
disease	S46.0	肩回旋套肌肉和肌腱损伤
disease	S46.1	二头肌长头肌肉和肌腱损伤
disease	S46.2	二头肌其他部位肌肉和肌腱损伤
disease	S46.3	三头肌肌肉和肌腱损伤
disease	S46.7	在肩和上臂水平的多处肌肉和肌腱损伤
disease	S46.8	在肩和上臂水平的其他肌肉和肌腱损伤
disease	S46.9	在肩和上臂水平的未特指肌肉和肌腱的损伤
disease	S47	肩和上臂挤压伤
disease	S48	肩和上臂创伤性切断
disease	S48.0	肩关节处创伤性切断
disease	S48.1	在肩和肘之间水平的创伤性切断
disease	S48.9	在肩和上臂水平的未特指的创伤性切断
disease	S49	肩和上臂其他和未特指的损伤
disease	S49.7	肩和上臂多处损伤
disease	S49.8	肩和上臂其他特指的损伤
disease	S49.9	肩和上臂未特指的损伤
disease	S50	前臂浅表损伤
disease	S50.0	肘挫伤
disease	S50.1	前臂其他和未特指部位的挫伤
disease	S50.7	前臂的多处浅表损伤
disease	S50.8	前臂的其他浅表损伤
disease	S50.9	前臂未特指的浅表损伤
disease	S51	前臂开放性伤口
disease	S51.0	肘开放性伤口
disease	S51.7	前臂多处开放性伤口
disease	S51.8	前臂其他部位的开放性伤口
disease	S51.9	前臂部位未特指的开放性伤口
disease	S52	前臂骨折
disease	S52.0	尺骨上端骨折
disease	S52.1	桡骨上端骨折
disease	S52.2	尺骨干骨折
disease	S52.3	桡骨干骨折
disease	S52.4	尺骨和桡骨骨干均骨折
disease	S52.5	桡骨下端骨折
disease	S52.6	尺骨和桡骨下端均骨折
disease	S52.7	前臂多处骨折
disease	S52.8	前臂其他部位的骨折
disease	S52.9	前臂部位未特指的骨折
disease	S53	肘关节和韧带脱位、扭伤和劳损
disease	S53.0	桡骨头脱位
disease	S53.1	未特指的肘关节脱位
disease	S53.2	桡侧副韧带创伤性破裂
disease	S53.3	尺侧副韧带创伤性破裂
disease	S53.4	肘关节扭伤和劳损
disease	S54	在前臂水平的神经损伤
disease	S54.0	在前臂水平的尺神经损伤
disease	S54.1	在前臂水平的正中神经损伤
disease	S54.2	在前臂水平的桡神经损伤
disease	S54.3	在前臂水平的皮感觉神经损伤
disease	S54.7	在前臂水平的多神经损伤
disease	S54.8	在前臂水平的其他神经损伤
disease	S54.9	在前臂水平的未特指神经的损伤
disease	S55	在前臂水平的血管损伤
disease	S55.0	在前臂水平的尺动脉损伤
disease	S55.1	在前臂水平的桡动脉损伤
disease	S55.2	在前臂水平的静脉损伤
disease	S55.7	在前臂水平的多处血管损伤
disease	S55.8	在前臂水平的其他血管损伤
disease	S55.9	在前臂水平的未特指血管的损伤
disease	S56	在前臂水平的肌肉和肌腱损伤
disease	S56.0	在前臂水平的拇指屈肌和肌腱损伤
disease	S56.1	在前臂水平的其他手指屈肌和肌腱损伤
disease	S56.2	在前臂水平的其他屈肌和肌腱损伤
disease	S56.3	在前臂水平的拇指伸肌或外展肌和肌腱损伤
disease	S56.4	在前臂水平的其他手指伸肌和肌腱损伤
disease	S56.5	在前臂水平的其他伸肌和肌腱损伤
disease	S56.7	在前臂水平的多处肌肉和肌腱损伤
disease	S56.8	在前臂水平的其他和未特指肌肉和肌腱的损伤
disease	S57	前臂挤压伤
disease	S57.0	肘挤压伤
disease	S57.8	前臂其他部位的挤压伤
disease	S57.9	前臂部位未特指的挤压伤
disease	S58	前臂创伤性切断
disease	S58.0	在肘水平的创伤性切断
disease	S58.1	在肘和腕之间水平的创伤性切断
disease	S58.9	在前臂水平的未特指的创伤性切断
disease	S59	前臂其他和未特指的损伤
disease	S59.7	前臂多处损伤
disease	S59.8	前臂其他特指的损伤
disease	S59.9	前臂未特指的损伤
disease	S60	腕和手浅表损伤
disease	S60.0	手指挫伤不伴有指甲损害
disease	S60.1	手指挫伤伴有指甲损害
disease	S60.2	腕和手其他部位的挫伤
disease	S60.7	腕和手多处浅表损伤
disease	S60.8	腕和手的其他浅表损伤
disease	S60.9	腕和手未特指的浅表损伤
disease	S61	腕和手开放性伤口
disease	S61.0	手指开放性伤口不伴有指甲损害
disease	S61.1	手指开放性伤口伴有指甲损害
disease	S61.7	腕和手多处开放性伤口
disease	S61.8	腕和手其他部位的开放性伤口
disease	S61.9	腕和手部位未特指的开放性伤口
disease	S62	在腕和手水平的骨折
disease	S62.0	手舟[舟状]骨骨折
disease	S62.1	其他腕骨骨折
disease	S62.2	第一掌骨骨折
disease	S62.3	其他掌骨骨折
disease	S62.4	掌骨多处骨折
disease	S62.5	拇指骨折
disease	S62.6	其他手指骨折
disease	S62.7	手指多处骨折
disease	S62.8	腕和手其他和未特指部位的骨折
disease	S63	在腕和手水平的关节和韧带脱位、扭伤和劳损
disease	S63.0	腕关节脱位
disease	S63.1	指关节脱位
disease	S63.2	手指多处脱位
disease	S63.3	腕和腕关节韧带创伤性破裂
disease	S63.4	掌指和指间关节处的手指韧带创伤性破裂
disease	S63.5	腕关节扭伤和劳损
disease	S63.6	手指扭伤和劳损
disease	S63.7	手其他和未特指部位的扭伤和劳损
disease	S64	在腕和手水平的神经损伤
disease	S64.0	在腕和手水平的尺神经损伤
disease	S64.1	在腕和手水平的正中神经损伤
disease	S64.2	在腕和手水平的桡神经损伤
disease	S64.3	拇指指神经损伤
disease	S64.4	其他手指指神经损伤
disease	S64.7	在腕和手水平的多神经损伤
disease	S64.8	在腕和手水平的其他神经损伤
disease	S64.9	在腕和手水平的未特指神经的损伤
disease	S65	在腕和手水平的血管损伤
disease	S65.0	在腕和手水平的尺动脉损伤
disease	S65.1	在腕和手水平的桡动脉损伤
disease	S65.2	掌浅动静脉弓损伤
disease	S65.3	掌深动静脉弓损伤
disease	S65.4	拇指血管损伤
disease	S65.5	其他手指血管损伤
disease	S65.7	在腕和手水平的多血管损伤
disease	S65.8	在腕和手水平的其他血管损伤
disease	S65.9	在腕和手水平的未特指血管的损伤
disease	S66	在腕和手水平的肌肉和肌腱损伤
disease	S66.0	在腕和手水平的拇指长屈肌和肌腱损伤
disease	S66.1	在腕和手水平的其他手指屈肌和肌腱损伤
disease	S66.2	在腕和手水平的拇指伸肌和肌腱损伤
disease	S66.3	在腕和手水平的其他手指伸肌和肌腱损伤
disease	S66.4	在腕和手水平的拇指内在肌和肌腱损伤
disease	S66.5	在腕和手水平的其他手指内在肌和肌腱损伤
disease	S66.6	在腕和手水平的多处屈肌和肌腱损伤
disease	S66.7	在腕和手水平的多处伸肌和肌腱损伤
disease	S66.8	在腕和手水平的其他肌肉和肌腱的损伤
disease	S66.9	在腕和手水平的未特指肌肉和肌腱的损伤
disease	S67	腕和手挤压伤
disease	S67.0	拇指和其他手指挤压伤
disease	S67.8	腕和手其他和未特指部位的挤压伤
disease	S68	腕和手创伤性切断
disease	S68.0	拇指创伤性切断（完全）（部分）
disease	S68.1	其他单个手指创伤性切断（完全）（部分）
disease	S68.2	仅两个或更多手指创伤性切断（完全）（部分）
disease	S68.3	手指（的一部分）伴有腕和手其他部分的合并创伤性切断
disease	S68.4	手在腕水平的创伤性切断
disease	S68.8	腕和手其他部位的创伤性切断
disease	S68.9	腕和手水平未特指的创伤性切断
disease	S69	腕和手其他和未特指的损伤
disease	S69.7	腕和手多处损伤
disease	S69.8	腕和手其他特指的损伤
disease	S69.9	腕和手未特指的损伤
disease	S70	髋和大腿浅表损伤
disease	S70.0	髋挫伤
disease	S70.1	大腿挫伤
disease	S70.7	髋和大腿多处浅表损伤
disease	S70.8	髋和大腿其他浅表损伤
disease	S70.9	髋和大腿未特指的浅表损伤
disease	S71	髋和大腿开放性伤口
disease	S71.0	髋开放性伤口
disease	S71.1	大腿开放性伤口
disease	S71.7	髋和大腿多处开放性伤口
disease	S71.8	骨盆带其他和未特指部位的开放性伤口
disease	S72	股骨骨折
disease	S72.0	股骨颈骨折
disease	S72.1	经大转子骨折
disease	S72.2	转子下骨折
disease	S72.3	股骨干骨折
disease	S72.4	股骨下端骨折
disease	S72.7	股骨多处骨折
disease	S72.8	股骨其他部位的骨折
disease	S72.9	股骨部位未特指的骨折
disease	S73	髋关节和韧带脱位、扭伤和劳损
disease	S73.0	髋脱位
disease	S73.1	髋扭伤和劳损
disease	S74	在髋和大腿水平的神经损伤
disease	S74.0	在髋和大腿水平的坐骨神经损伤
disease	S74.1	在髋和大腿水平的股神经损伤
disease	S74.2	在髋和大腿水平的皮感觉神经损伤
disease	S74.7	在髋和大腿水平的多神经损伤
disease	S74.8	在髋和大腿水平的其他神经损伤
disease	S74.9	在髋和大腿水平的未特指神经的损伤
disease	S75	在髋和大腿水平的血管损伤
disease	S75.0	股动脉损伤
disease	S75.1	在髋和大腿水平的股静脉损伤
disease	S75.2	在髋和大腿水平的大隐静脉损伤
disease	S75.7	在髋和大腿水平的多血管损伤
disease	S75.8	在髋和大腿水平的其他血管损伤
disease	S75.9	在髋和大腿水平的未特指血管的损伤
disease	S76	在髋和大腿水平的肌肉和肌腱损伤
disease	S76.0	髋部肌肉和肌腱损伤
disease	S76.1	四头肌和肌腱损伤
disease	S76.2	大腿内收肌和肌腱损伤
disease	S76.3	在大腿水平的后部肌群和肌腱损伤
disease	S76.4	在大腿水平的其他和未特指的肌肉和肌腱损伤
disease	S76.7	髋关节和在大腿水平的多处肌肉和肌腱损伤
disease	S77	髋和大腿挤压伤
disease	S77.0	髋部挤压伤
disease	S77.1	大腿挤压伤
disease	S77.2	髋伴有大腿挤压伤
disease	S78	髋和大腿创伤性切断
disease	S78.0	髋部创伤性切断
disease	S78.1	在髋和膝关节之间水平的创伤性切断
disease	S78.9	髋和大腿水平未特指的创伤性切断
disease	S79	髋和大腿其他和未特指的损伤
disease	S79.7	髋和大腿多处损伤
disease	S79.8	髋和大腿其他特指的损伤
disease	S79.9	髋和大腿未特指的损伤
disease	S80	小腿浅表损伤
disease	S80.0	膝挫伤
disease	S80.1	小腿其他和未特指部位的挫伤
disease	S80.7	小腿多处浅表损伤
disease	S80.8	小腿的其他浅表损伤
disease	S80.9	小腿未特指的浅表损伤
disease	S81	小腿开放性伤口
disease	S81.0	膝开放性伤口
disease	S81.7	小腿多处开放性伤口
disease	S81.8	小腿其他部位的开放性伤口
disease	S81.9	小腿部位未特指的开放性伤口
disease	S82	小腿（包括踝）骨折
disease	S82.0	髌骨骨折
disease	S82.1	胫骨上端骨折
disease	S82.2	胫骨骨干骨折
disease	S82.3	胫骨下端骨折
disease	S82.4	仅腓骨骨折
disease	S82.5	内踝骨折
disease	S82.6	外踝骨折
disease	S82.7	小腿多处骨折
disease	S82.8	小腿其他部位的骨折
disease	S82.9	小腿部位未特指的骨折
disease	S83	膝关节和韧带脱位、扭伤和劳损
disease	S83.0	髌骨脱位
disease	S83.1	膝关节脱位
disease	S83.2	半月板撕裂，近期的
disease	S83.3	膝关节软骨撕裂，近期的
disease	S83.4	累及膝关节（腓）（胫）副韧带的扭伤和劳损
disease	S83.5	累及膝关节（前）（后）十字韧带的扭伤和劳损
disease	S83.6	膝的其他和未特指部位的扭伤和劳损
disease	S83.7	膝的多处结构的损伤
disease	S84	在小腿水平的神经损伤
disease	S84.0	在小腿水平的胫神经损伤
disease	S84.1	在小腿水平的腓神经损伤
disease	S84.2	在小腿水平的皮感觉神经损伤
disease	S84.7	在小腿水平的多神经损伤
disease	S84.8	在小腿水平的其他神经损伤
disease	S84.9	在小腿水平的未特指神经的损伤
disease	S85	在小腿水平的血管损伤
disease	S85.0	腘动脉损伤
disease	S85.1	胫动脉损伤（前）（后）
disease	S85.2	腓动脉损伤
disease	S85.3	在小腿水平的大隐静脉损伤
disease	S85.4	在小腿水平的小隐静脉损伤
disease	S85.5	腘静脉损伤
disease	S85.7	在小腿水平的多处血管损伤
disease	S85.8	在小腿水平的其他血管损伤
disease	S85.9	在小腿水平的未特指血管的损伤
disease	S86	在小腿水平的肌肉和肌腱损伤
disease	S86.0	跟腱损伤
disease	S86.1	在小腿水平的后部肌群的其他肌肉和肌腱损伤
disease	S86.2	在小腿水平的前部肌群的肌肉和肌腱损伤
disease	S86.3	在小腿水平的腓侧肌群的肌肉和肌腱损伤
disease	S86.7	在小腿水平的多处肌肉和肌腱损伤
disease	S86.8	在小腿水平的其他肌肉和肌腱损伤
disease	S86.9	在小腿水平的未特指肌肉和肌腱的损伤
disease	S87	小腿挤压伤
disease	S87.0	膝挤压伤
disease	S87.8	小腿其他和未特指部位的挤压伤
disease	S88	小腿创伤性切断
disease	S88.0	在膝水平的创伤性切断
disease	S88.1	在膝和踝之间水平的创伤性切断
disease	S88.9	小腿水平未特指的创伤性切断
disease	S89	小腿其他和未特指的损伤
disease	S89.7	小腿多处损伤
disease	S89.8	小腿其他特指的损伤
disease	S89.9	小腿未特指的损伤
disease	S90	踝和足浅表损伤
disease	S90.0	踝挫伤
disease	S90.1	趾挫伤不伴有趾甲损坏
disease	S90.2	趾挫伤伴有趾甲损坏
disease	S90.3	足的其他和未特指部位的挫伤
disease	S90.7	踝和足多处浅表损伤
disease	S90.8	踝和足的其他浅表损伤
disease	S90.9	踝和足未特指的浅表损伤
disease	S91	踝和足开放性伤口
disease	S91.0	踝开放性伤口
disease	S91.1	趾开放性伤口不伴有趾甲损坏
disease	S91.2	趾开放性伤口伴有趾甲损坏
disease	S91.3	足的其他部位的开放性伤口
disease	S91.7	踝和足多处开放性伤口
disease	S92	足骨折，除外踝
disease	S92.0	跟骨骨折
disease	S92.1	距骨骨折
disease	S92.2	其他跗骨骨折
disease	S92.3	跖骨骨折
disease	S92.4	拇趾骨折
disease	S92.5	其他趾骨折
disease	S92.7	足多处骨折
disease	S92.9	足骨折，未特指
disease	S93	在踝和足水平的关节和韧带脱位、扭伤和劳损
disease	S93.0	踝关节脱位
disease	S93.1	足趾脱位
disease	S93.2	在踝和足水平的韧带破裂
disease	S93.3	足的其他和未特指部位的脱位
disease	S93.4	踝扭伤和劳损
disease	S93.5	足趾扭伤和劳损
disease	S93.6	足的其他和未特指部位的扭伤和劳损
disease	S94	在踝和足水平的神经损伤
disease	S94.0	足底外侧神经损伤
disease	S94.1	足底内侧神经损伤
disease	S94.2	在踝和足水平的腓深神经损伤
disease	S94.3	在踝和足水平的皮感觉神经损伤
disease	S94.7	在踝和足水平的多神经损伤
disease	S94.8	在踝和足水平的其他神经损伤
disease	S94.9	在踝和足水平的未特指神经的损伤
disease	S95	在踝和足水平的血管损伤
disease	S95.0	足背动脉损伤
disease	S95.1	足底动脉损伤
